Freq.	1/(1-1/(2*(I(Vi)@1*V(x)@2-V(x)@1*I(Vi)@2)+V(x)@1+I(Vi)@2))
1.72186857498599e+001	(7.83739969815769e+001dB,9.02572592768912e+001°)
1.72583789199018e+001	(7.83531435377384e+001dB,9.02512452818648e+001°)
1.72981635921508e+001	(7.83322901401613e+001dB,9.02452598300152e+001°)
1.73380399775412e+001	(7.83114367987969e+001dB,9.02393028929825e+001°)
1.73780082874935e+001	(7.82905835242333e+001dB,9.02333744240380e+001°)
1.74180687339159e+001	(7.82697303273747e+001dB,9.02274743795585e+001°)
1.74582215292048e+001	(7.82488772172926e+001dB,9.02216027156055e+001°)
1.74984668862464e+001	(7.82280242062509e+001dB,9.02157593887844e+001°)
1.75388050184174e+001	(7.82071713022663e+001dB,9.02099443432156e+001°)
1.75792361395867e+001	(7.81863185178215e+001dB,9.02041575456951e+001°)
1.76197604641161e+001	(7.81654658619212e+001dB,9.01983989490752e+001°)
1.76603782068614e+001	(7.81446133454004e+001dB,9.01926685103352e+001°)
1.77010895831740e+001	(7.81237609781582e+001dB,9.01869661720154e+001°)
1.77418948089014e+001	(7.81029087709715e+001dB,9.01812918994488e+001°)
1.77827941003890e+001	(7.80820567336840e+001dB,9.01756456440295e+001°)
1.78237876744807e+001	(7.80612048761071e+001dB,9.01700273569349e+001°)
1.78648757485203e+001	(7.80403532093489e+001dB,9.01644369919959e+001°)
1.79060585403527e+001	(7.80195017428086e+001dB,9.01588745038848e+001°)
1.79473362683250e+001	(7.79986504870892e+001dB,9.01533398300745e+001°)
1.79887091512877e+001	(7.79777994519184e+001dB,9.01478329472518e+001°)
1.80301774085955e+001	(7.79569486478350e+001dB,9.01423537947560e+001°)
1.80717412601090e+001	(7.79360980845039e+001dB,9.01369023258567e+001°)
1.81134009261958e+001	(7.79152477724528e+001dB,9.01314784885014e+001°)
1.81551566277311e+001	(7.78943977211863e+001dB,9.01260822354331e+001°)
1.81970085860996e+001	(7.78735479408883e+001dB,9.01207135213704e+001°)
1.82389570231961e+001	(7.78526984419164e+001dB,9.01153722869789e+001°)
1.82810021614272e+001	(7.78318492336575e+001dB,9.01100584964909e+001°)
1.83231442237119e+001	(7.78110003264427e+001dB,9.01047720913709e+001°)
1.83653834334832e+001	(7.77901517301134e+001dB,9.00995130320978e+001°)
1.84077200146893e+001	(7.77693034543984e+001dB,9.00942812473615e+001°)
1.84501541917945e+001	(7.77484555094072e+001dB,9.00890767042483e+001°)
1.84926861897805e+001	(7.77276079044698e+001dB,9.00838993499880e+001°)
1.85353162341479e+001	(7.77067606503401e+001dB,9.00787491198331e+001°)
1.85780445509167e+001	(7.76859137555894e+001dB,9.00736259814185e+001°)
1.86208713666284e+001	(7.76650672308865e+001dB,9.00685298720874e+001°)
1.86637969083464e+001	(7.76442210855819e+001dB,9.00634607325906e+001°)
1.87068214036578e+001	(7.76233753295726e+001dB,9.00584185331901e+001°)
1.87499450806739e+001	(7.76025299725095e+001dB,9.00534032072686e+001°)
1.87931681680324e+001	(7.75816850239025e+001dB,9.00484146897165e+001°)
1.88364908948977e+001	(7.75608404935724e+001dB,9.00434529543851e+001°)
1.88799134909627e+001	(7.75399963908859e+001dB,9.00385179266873e+001°)
1.89234361864495e+001	(7.75191527250496e+001dB,9.00336095610522e+001°)
1.89670592121112e+001	(7.74983095065296e+001dB,9.00287278071040e+001°)
1.90107827992327e+001	(7.74774667439572e+001dB,9.00238726049495e+001°)
1.90546071796322e+001	(7.74566244475393e+001dB,9.00190439116002e+001°)
1.90985325856621e+001	(7.74357826260933e+001dB,9.00142416593768e+001°)
1.91425592502106e+001	(7.74149412895272e+001dB,9.00094657899382e+001°)
1.91866874067026e+001	(7.73941004468449e+001dB,9.00047162644398e+001°)
1.92309172891013e+001	(7.73732601075147e+001dB,8.99999930173264e+001°)
1.92752491319091e+001	(7.73524202807773e+001dB,8.99952960022825e+001°)
1.93196831701690e+001	(7.73315809761475e+001dB,8.99906251497558e+001°)
1.93642196394658e+001	(7.73107422029711e+001dB,8.99859804154952e+001°)
1.94088587759275e+001	(7.72899039697564e+001dB,8.99813617407672e+001°)
1.94536008162263e+001	(7.72690662865413e+001dB,8.99767690644621e+001°)
1.94984459975802e+001	(7.72482291621817e+001dB,8.99722023369836e+001°)
1.95433945577537e+001	(7.72273926055391e+001dB,8.99676614971810e+001°)
1.95884467350596e+001	(7.72065566258012e+001dB,8.99631464895958e+001°)
1.96336027683602e+001	(7.71857212324861e+001dB,8.99586572560663e+001°)
1.96788628970682e+001	(7.71648864342397e+001dB,8.99541937427881e+001°)
1.97242273611483e+001	(7.71440522396534e+001dB,8.99497558849213e+001°)
1.97696964011183e+001	(7.71232186585701e+001dB,8.99453436330252e+001°)
1.98152702580507e+001	(7.71023856991096e+001dB,8.99409569299256e+001°)
1.98609491735734e+001	(7.70815533706933e+001dB,8.99365957008345e+001°)
1.99067333898716e+001	(7.70607216820108e+001dB,8.99322599006018e+001°)
1.99526231496885e+001	(7.70398906414813e+001dB,8.99279494729594e+001°)
1.99986186963271e+001	(7.70190602585700e+001dB,8.99236643571883e+001°)
2.00447202736513e+001	(7.69982305417065e+001dB,8.99194044892690e+001°)
2.00909281260870e+001	(7.69774014994907e+001dB,8.99151698161064e+001°)
2.01372424986236e+001	(7.69565731405945e+001dB,8.99109602701289e+001°)
2.01836636368153e+001	(7.69357454737938e+001dB,8.99067757923926e+001°)
2.02301917867824e+001	(7.69149185076009e+001dB,8.99026163338216e+001°)
2.02768271952125e+001	(7.68940922506673e+001dB,8.98984818204301e+001°)
2.03235701093619e+001	(7.68732667115556e+001dB,8.98943722029312e+001°)
2.03704207770569e+001	(7.68524418984482e+001dB,8.98902874204062e+001°)
2.04173794466950e+001	(7.68316178200353e+001dB,8.98862274014501e+001°)
2.04644463672464e+001	(7.68107944845490e+001dB,8.98821920983257e+001°)
2.05116217882553e+001	(7.67899719006306e+001dB,8.98781814424500e+001°)
2.05589059598411e+001	(7.67691500764881e+001dB,8.98741953691241e+001°)
2.06062991326997e+001	(7.67483290203674e+001dB,8.98702338296442e+001°)
2.06538015581050e+001	(7.67275087403771e+001dB,8.98662967457255e+001°)
2.07014134879101e+001	(7.67066892450119e+001dB,8.98623840681019e+001°)
2.07491351745488e+001	(7.66858705424622e+001dB,8.98584957330183e+001°)
2.07969668710366e+001	(7.66650526403365e+001dB,8.98546316721585e+001°)
2.08449088309726e+001	(7.66442355473349e+001dB,8.98507918259872e+001°)
2.08929613085401e+001	(7.66234192712525e+001dB,8.98469761395388e+001°)
2.09411245585086e+001	(7.66026038198913e+001dB,8.98431845359356e+001°)
2.09893988362349e+001	(7.65817892018957e+001dB,8.98394169668901e+001°)
2.10377843976644e+001	(7.65609754246077e+001dB,8.98356733525925e+001°)
2.10862814993326e+001	(7.65401624961401e+001dB,8.98319536518413e+001°)
2.11348903983661e+001	(7.65193504243396e+001dB,8.98282577756170e+001°)
2.11836113524847e+001	(7.64985392166553e+001dB,8.98245856822778e+001°)
2.12324446200019e+001	(7.64777288812769e+001dB,8.98209373017885e+001°)
2.12813904598268e+001	(7.64569194258207e+001dB,8.98173125609179e+001°)
2.13304491314654e+001	(7.64361108579222e+001dB,8.98137114112055e+001°)
2.13796208950220e+001	(7.64153031854067e+001dB,8.98101337738464e+001°)
2.14289060112002e+001	(7.63944964156814e+001dB,8.98065795920232e+001°)
2.14783047413050e+001	(7.63736905565124e+001dB,8.98030487955573e+001°)
2.15278173472434e+001	(7.63528856147978e+001dB,8.97995413343282e+001°)
2.15774440915263e+001	(7.63320815987020e+001dB,8.97960571301150e+001°)
2.16271852372698e+001	(7.63112785153557e+001dB,8.97925961138431e+001°)
2.16770410481966e+001	(7.62904763722396e+001dB,8.97891582310480e+001°)
2.17270117886371e+001	(7.62696751766387e+001dB,8.97857434122781e+001°)
2.17770977235312e+001	(7.62488749357909e+001dB,8.97823515993331e+001°)
2.18272991184297e+001	(7.62280756569660e+001dB,8.97789827161631e+001°)
2.18776162394952e+001	(7.62072773477170e+001dB,8.97756367027823e+001°)
2.19280493535041e+001	(7.61864800145291e+001dB,8.97723134919856e+001°)
2.19785987278479e+001	(7.61656836651177e+001dB,8.97690130128548e+001°)
2.20292646305342e+001	(7.61448883066539e+001dB,8.97657352041943e+001°)
2.20800473301886e+001	(7.61240939453282e+001dB,8.97624800082820e+001°)
2.21309470960560e+001	(7.61033005891445e+001dB,8.97592473450433e+001°)
2.21819641980018e+001	(7.60825082443347e+001dB,8.97560371525709e+001°)
2.22330989065137e+001	(7.60617169182559e+001dB,8.97528493711868e+001°)
2.22843514927027e+001	(7.60409266172946e+001dB,8.97496839273051e+001°)
2.23357222283049e+001	(7.60201373486754e+001dB,8.97465407528980e+001°)
2.23872113856830e+001	(7.59993491189323e+001dB,8.97434197847127e+001°)
2.24388192378273e+001	(7.59785619350571e+001dB,8.97403209561348e+001°)
2.24905460583574e+001	(7.59577758033937e+001dB,8.97372441934680e+001°)
2.25423921215239e+001	(7.59369907309031e+001dB,8.97341894304469e+001°)
2.25943577022094e+001	(7.59162067238537e+001dB,8.97311566075534e+001°)
2.26464430759302e+001	(7.58954237889102e+001dB,8.97281456596110e+001°)
2.26986485188378e+001	(7.58746419324584e+001dB,8.97251565071711e+001°)
2.27509743077203e+001	(7.58538611612752e+001dB,8.97221890879999e+001°)
2.28034207200038e+001	(7.58330814817138e+001dB,8.97192433368603e+001°)
2.28559880337539e+001	(7.58123028996130e+001dB,8.97163191861814e+001°)
2.29086765276773e+001	(7.57915254219180e+001dB,8.97134165638795e+001°)
2.29614864811232e+001	(7.57707490544229e+001dB,8.97105353986861e+001°)
2.30144181740847e+001	(7.57499738035136e+001dB,8.97076756228914e+001°)
2.30674718872003e+001	(7.57291996757129e+001dB,8.97048371864397e+001°)
